tur_yaw = 0.033499999999973704, bal_yaw = -0.6964998745467493, pitch = 8.246566617383703e-06, roll = -2.3996617068224343e-05, YxRef = 1.147873068013119e-05, TxRef = 0.05749275856340741
tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999378597819, pitch = 8.246566617383703e-06, roll = -2.3996617068224343e-05, YxRef = 1.147873068013119e-05, TxRef = 0.05749275856340741
tur_yaw = 0.0334999999999737, bal_yaw = -0.6964996460852211, pitch = 9.136892576612406e-06, roll = -2.459570506485721e-05, YxRef = 1.2479550999315412e-05, TxRef = 0.057493782326362965
tur_yaw = 0.0334999999999737, bal_yaw = -0.6964999750981629, pitch = 9.136892576612406e-06, roll = -2.459570506485721e-05, YxRef = 1.2479550999315412e-05, TxRef = 0.057493782326362965
tur_yaw = 0.0334999999999737, bal_yaw = -0.6964999368223114, pitch = 1.0061359629400308e-05, roll = -2.5085166652110197e-05, YxRef = 1.2413235077914225e-05, TxRef = 0.05749374595406308
tur_yaw = 0.0334999999999737, bal_yaw = -0.6964999858675266, pitch = 1.0061359629400308e-05, roll = -2.5085166652110197e-05, YxRef = 1.2413235077914225e-05, TxRef = 0.05749374595406308
tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999765892756, pitch = 1.0469208299929716e-05, roll = -2.709827793119069e-05, YxRef = 1.2060557224964826e-05, TxRef = 0.057493407111160896
tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999683868525, pitch = 1.0469208299929716e-05, roll = -2.709827793119069e-05, YxRef = 1.2060557224964826e-05, TxRef = 0.057493407111160896
tur_yaw = 0.03349999999997372, bal_yaw = -0.6964997235599879, pitch = 1.041080470071982e-05, roll = -2.886252185154275e-05, YxRef = 1.2423753945190023e-05, TxRef = 0.05749376344828337
tur_yaw = 0.03349999999997372, bal_yaw = -0.6964999579356579, pitch = 1.041080470071982e-05, roll = -2.886252185154275e-05, YxRef = 1.2423753945190023e-05, TxRef = 0.05749376344828337
tur_yaw = 0.03349999999997371, bal_yaw = -0.6965002176738192, pitch = 9.219257561873533e-06, roll = -2.5965710908618028e-05, YxRef = 1.3355932506792233e-05, TxRef = 0.05749466142333849
